ticker,cik,accession,form,filing_date,accepted_datetime,primary_doc,doc_url
AAPL,0000320193,0000320193-26-000011,8-K,2026-04-30,2026-04-30T20:30:41.000Z,aapl-20260430.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm
AAPL,0000320193,0001140361-26-015711,8-K,2026-04-20,2026-04-20T21:29:51.000Z,ef20071035_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036126015711/ef20071035_8k.htm
AAPL,0000320193,0001140361-26-006577,8-K,2026-02-24,2026-02-24T21:55:58.000Z,ef20060722_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036126006577/ef20060722_8k.htm
AAPL,0000320193,0000320193-26-000005,8-K,2026-01-29,2026-01-29T21:30:33.000Z,aapl-20260129.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019326000005/aapl-20260129.htm
