date,open,high,low,close,volume
2024-07-08,225.139738,225.893221,221.33272,225.86348,59085900
2024-07-09,225.972536,227.429913,224.425936,226.716095,48076100
2024-07-10,227.330768,231.078304,227.281194,230.979156,62627700
2024-07-11,229.402848,230.39426,223.831117,225.615662,64710600
2024-07-12,226.954037,230.642091,226.716093,228.56012,53046500
2024-07-15,234.449102,235.192661,231.088216,232.386963,62631300
2024-07-16,232.981792,234.240889,230.334724,232.803345,43234300
2024-07-17,227.47948,229.472228,224.693615,226.914383,57345900
2024-07-18,228.302349,228.460979,220.361145,222.25473,66034600
2024-07-19,222.889251,224.852243,221.362468,222.383621,49151500
2024-07-22,225.060431,225.823822,221.174098,222.036636,48201800
2024-07-23,222.443103,224.991039,220.767614,223.077606,39960300
2024-07-24,222.076278,222.869411,215.265283,216.663162,61777600
2024-07-25,217.049813,218.953337,212.77683,215.622192,51391200
2024-07-26,216.8218,217.605024,214.1549,216.088165,41601300
2024-07-29,215.096747,217.416647,213.897132,216.365753,36311800
2024-07-30,217.307594,218.437803,214.263952,216.920944,41643800
2024-07-31,219.538242,221.897807,218.735201,220.172745,50036300
2024-08-01,222.443107,222.552163,215.156237,216.484726,62501000
2024-08-02,217.267923,223.662542,215.840303,217.971832,105568600
2024-08-05,197.380197,211.666447,194.316738,207.472778,119548600
2024-08-06,203.536869,208.186593,199.343201,205.450287,69660500
2024-08-07,205.123115,211.805237,204.6175,208.018051,63516400
2024-08-08,211.279824,212.36046,207.036582,211.478104,47161100
2024-08-09,210.27849,214.91829,210.149601,214.382935,42201600
2024-08-12,214.462355,217.876747,213.995851,215.911484,38028100
2024-08-13,217.380448,220.239024,217.380448,219.623642,44155300
2024-08-14,218.92886,221.370548,218.065323,220.070297,41960600
2024-08-15,222.928856,223.673276,221.102535,223.047958,46414000
2024-08-16,222.253931,225.142283,221.985936,224.368088,44340200
2024-08-19,224.040526,224.308521,221.380458,224.209259,40687800
2024-08-20,224.090146,225.479724,223.77252,224.824631,30299000
2024-08-21,224.834602,226.283731,223.375538,224.715485,34765500
2024-08-22,226.095144,226.641055,222.234088,222.859406,43695300
2024-08-23,223.980978,226.521928,222.660872,225.152191,38677300
2024-08-26,225.072781,225.588917,222.224141,225.489655,30602200
2024-08-27,224.318449,227.14725,223.216707,226.333344,35934600
2024-08-28,226.224147,228.149715,224.000808,224.804794,38052200
2024-08-29,228.387937,231.186947,227.177013,228.080231,51906300
2024-08-30,228.477291,228.68572,225.787448,227.296143,52990800
2024-09-03,226.849481,227.296129,219.524387,221.112488,50190600
2024-09-04,220.010743,220.129845,215.861836,219.206772,43840200
2024-09-05,219.980968,223.802313,219.871786,220.725388,36615400
2024-09-06,222.283687,223.564098,218.134796,219.176987,48423000
2024-09-09,219.177,219.623649,215.09758,219.266327,67180000
2024-09-10,217.291127,219.832076,215.117419,218.472275,51591000
2024-09-11,219.812228,221.430089,216.268783,221.003296,44587100
2024-09-12,220.844492,221.886683,218.18444,221.112488,37455600
2024-09-13,221.916448,222.373017,220.258876,220.844482,36766600
2024-09-16,214.928829,215.603777,212.328328,214.71048,59357400
2024-09-17,214.144716,215.286154,212.904017,215.176971,45519300
2024-09-18,215.931307,221.052917,215.921372,219.047943,59894900
2024-09-19,223.315948,228.110012,222.958626,227.167068,66781300
2024-09-20,228.25891,231.355691,225.926389,226.502075,318679900
2024-09-23,225.64848,227.742781,224.129865,224.784958,54146000
2024-09-24,226.948728,227.643532,224.050456,225.678253,43556100
2024-09-25,223.256411,225.598852,222.353194,224.685699,42308700
2024-09-26,225.608784,226.799853,223.732847,225.827148,36636700
2024-09-27,226.760136,227.812247,225.608764,226.095108,34026000
2024-09-30,228.32839,231.266373,227.941292,231.266373,54541900
2024-10-01,227.812271,227.941293,222.075278,224.526901,63285000
2024-10-02,224.209274,225.678258,221.360633,225.092651,32880600
2024-10-03,223.464835,225.122408,221.658385,223.990891,34044200
2024-10-04,226.204279,226.303541,222.462341,225.112473,37245100
2024-10-07,222.829602,224.01075,219.68319,220.040512,39505400
2024-10-08,222.6311,224.298593,221.58891,224.090164,31855700
2024-10-09,223.554178,228.040552,223.157161,227.832108,33591100
2024-10-10,226.085211,227.792415,225.479749,227.335831,28183500
2024-10-11,227.593882,227.703064,225.648459,225.856903,31759200
2024-10-14,226.998349,230.005803,226.899102,229.57901,39882100
2024-10-15,231.871811,235.722947,230.641032,232.110031,64751400
2024-10-16,229.876766,230.392886,228.129852,230.05542,34082200
2024-10-17,231.693159,232.110047,228.804822,230.422684,32993800
2024-10-18,234.422662,234.422662,232.26881,233.25145,46431500
2024-10-21,232.705564,235.087716,232.705564,234.720459,36254500
2024-10-22,232.149759,234.462425,230.869364,234.105103,38846600
2024-10-23,232.338335,233.390445,226.065351,229.04303,52287000
2024-10-24,228.268825,229.102586,226.710514,228.854446,31109500
2024-10-25,228.030629,231.484732,227.861896,229.688202,38802300
2024-10-28,231.584,232.983497,230.819725,231.663391,36087100
2024-10-29,231.3656,232.586444,230.591405,231.931351,35417200
2024-10-30,230.879258,231.73286,227.842029,228.387939,47070900
2024-10-31,227.633613,228.119973,223.693151,224.229141,64370100
2024-11-01,219.325867,223.673282,218.631078,221.251434,65276700
2024-11-04,219.345709,221.132304,218.075234,220.358109,44944500
2024-11-05,220.149682,222.283679,219.494589,221.787399,28111300
2024-11-06,220.953684,224.387947,219.544251,221.062866,54561100
2024-11-07,222.958629,226.184447,222.899078,225.787415,42137700
2024-11-08,225.727808,227.208354,224.972638,225.51915,38328800
2024-11-11,223.571589,224.267142,220.093808,222.806473,42005600
2024-11-12,223.124449,224.157839,221.942001,222.806473,40398300
2024-11-13,222.587873,225.211112,221.345808,223.690826,48566200
2024-11-14,223.591482,227.417031,223.571605,226.771164,44923900
2024-11-15,224.962685,225.479388,222.846218,223.571579,47923700
2024-11-18,223.819999,228.2815,223.740505,226.572418,44633700
2024-11-19,225.539,228.698819,225.221039,226.83075,36211800
2024-11-20,226.612154,228.470277,224.455932,227.546188,35169600
2024-11-21,227.42696,228.698832,224.277086,227.069244,42108300
2024-11-22,226.612138,229.255254,226.612138,228.410645,38168300
2024-11-25,229.990565,231.769194,228.281483,231.391602,90152800
2024-11-26,231.848706,234.07449,231.848706,233.567719,45986200
2024-11-27,232.981466,234.193722,232.325653,233.438538,33498400
2024-11-29,233.319312,236.300267,232.484649,235.823318,28481400
2024-12-02,235.763706,239.261349,235.654404,238.06897,48137100
2024-12-03,238.287561,241.21883,237.383335,241.109528,38861000
2024-12-04,241.328144,242.560277,239.718433,241.467255,44383900
2024-12-05,242.441021,242.987517,240.592829,241.49704,40033900
2024-12-06,241.367887,243.076969,240.543155,241.298325,36870600
2024-12-09,240.294754,245.670412,240.21526,245.183517,44649200
2024-12-10,245.322603,246.634231,243.782441,246.197021,36914800
2024-12-11,246.38584,249.207807,244.69662,244.925171,45205800
2024-12-12,245.322619,247.160881,244.120294,246.385834,32777500
2024-12-13,246.246734,247.707388,244.676763,246.554764,33155300
2024-12-16,246.415619,249.784096,246.077766,249.446243,51694800
2024-12-17,248.492364,252.218557,248.194266,251.870773,51356400
2024-12-18,250.559158,252.665695,246.167221,246.47525,56774100
2024-12-19,245.928738,250.40017,245.521337,248.204193,60882300
2024-12-20,246.465295,253.381116,244.130223,252.874359,147495300
2024-12-23,253.152588,254.026991,251.840961,253.649414,40858800
2024-12-24,253.868019,256.570737,253.669277,256.560822,23234700
2024-12-26,256.550862,258.44874,255.99442,257.37558,27237100
2024-12-27,256.193146,257.057649,251.45344,253.967377,42355300
2024-12-30,250.628716,251.890657,249.158116,250.598907,35557500
2024-12-31,250.837411,251.672075,247.84651,248.830231,39480700
2025-01-02,247.349662,247.518596,240.284814,242.301926,55740700
2025-01-03,241.815033,242.629819,240.354364,241.815033,40244100
2025-01-06,242.758973,245.759805,241.65602,243.444595,45045600
2025-01-07,241.437418,243.99111,239.817777,240.672318,40856000
2025-01-08,240.384163,242.162808,238.52604,241.15921,37628900
2025-01-10,238.486286,238.635343,231.520795,235.346359,61710900
2025-01-13,232.047439,233.180201,228.261629,232.911911,49630700
2025-01-14,233.259695,234.620993,230.994171,231.799026,39435300
2025-01-15,233.150388,237.44297,232.941715,236.359879,39832000
2025-01-16,235.843186,236.498985,226.582347,226.810883,71759100
2025-01-17,230.646372,230.815291,227.029481,228.519958,68488300
2025-01-21,222.577929,222.995261,217.987264,221.226562,98070400
2025-01-22,218.394666,222.697179,218.394666,222.409027,64126500
2025-01-23,223.313242,225.588698,220.88873,222.240097,60234800
2025-01-24,223.352964,224.197574,220.004364,221.365662,54697900
2025-01-27,222.59782,230.676197,222.558066,228.400742,94863400
2025-01-28,229.38446,238.665161,229.344705,236.747406,75707600
